GAU88834.1	18330a2b40811822ac1931f273f66efa	112	MobiDBLite	mobidb-lite	consensus disorder prediction	91	112	-	T	22-04-2026	-	-	-	-
GAV05038.1	b3e72daf1cb7d6f2b47b42ee2b1945e3	97	MobiDBLite	mobidb-lite	consensus disorder prediction	44	97	-	T	22-04-2026	-	-	-	-
GAV05038.1	b3e72daf1cb7d6f2b47b42ee2b1945e3	97	MobiDBLite	mobidb-lite	consensus disorder prediction	52	84	-	T	22-04-2026	-	-	-	-
GAV09781.1	5ec0a5a965b64ac07ee1b2fa6816e5c7	348	PANTHER	PTHR11814	SULFATE TRANSPORTER	1	252	6.9E-44	T	22-04-2026	IPR001902	SLC26A/SulP transporter	-	-
GAV09781.1	5ec0a5a965b64ac07ee1b2fa6816e5c7	348	ProSiteProfiles	PS50801	STAS domain profile.	81	250	23.92421	T	22-04-2026	IPR002645	STAS domain	-	-
GAV09781.1	5ec0a5a965b64ac07ee1b2fa6816e5c7	348	SUPERFAMILY	SSF52091	SpoIIaa-like	87	250	7.26E-16	T	22-04-2026	IPR036513	STAS domain superfamily	-	-
GAV09781.1	5ec0a5a965b64ac07ee1b2fa6816e5c7	348	CDD	cd07042	STAS_SulP_like_sulfate_transporter	82	243	9.04967E-18	T	22-04-2026	-	-	-	-
GAV09781.1	5ec0a5a965b64ac07ee1b2fa6816e5c7	348	Gene3D	G3DSA:3.30.750.24	STAS domain	61	254	2.1E-39	T	22-04-2026	IPR036513	STAS domain superfamily	-	-
GAV09781.1	5ec0a5a965b64ac07ee1b2fa6816e5c7	348	Pfam	PF01740	STAS domain	83	246	9.1E-14	T	22-04-2026	IPR002645	STAS domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	ProSiteProfiles	PS50106	PDZ domain profile.	24	109	15.5412	T	22-04-2026	IPR001478	PDZ domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	Pfam	PF00595	PDZ domain	134	198	3.1E-9	T	22-04-2026	IPR001478	PDZ domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	Pfam	PF00595	PDZ domain	34	105	2.7E-5	T	22-04-2026	IPR001478	PDZ domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	SUPERFAMILY	SSF50156	PDZ domain-like	121	209	1.12E-19	T	22-04-2026	IPR036034	PDZ superfamily	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	CDD	cd00992	PDZ_signaling	125	204	1.78614E-15	T	22-04-2026	IPR001478	PDZ domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	Gene3D	G3DSA:2.30.42.10	-	6	112	3.3E-19	T	22-04-2026	IPR036034	PDZ superfamily	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	ProSiteProfiles	PS50106	PDZ domain profile.	126	208	18.7773	T	22-04-2026	IPR001478	PDZ domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	SUPERFAMILY	SSF50156	PDZ domain-like	19	119	3.02E-20	T	22-04-2026	IPR036034	PDZ superfamily	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	Gene3D	G3DSA:2.30.42.10	-	116	211	1.4E-20	T	22-04-2026	IPR036034	PDZ superfamily	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	SMART	SM00228	pdz_new	136	208	6.0E-16	T	22-04-2026	IPR001478	PDZ domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	SMART	SM00228	pdz_new	34	109	1.7E-14	T	22-04-2026	IPR001478	PDZ domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	CDD	cd00992	PDZ_signaling	32	106	1.85077E-14	T	22-04-2026	IPR001478	PDZ domain	-	-
GAV03348.1	ad10e0a59d231a920b776b090544e69e	297	PANTHER	PTHR19964	MULTIPLE PDZ DOMAIN PROTEIN	133	244	2.2E-27	T	22-04-2026	-	-	-	-
GAV05950.1	5c9ff66cf84bb984104cdf8c3ffa1661	120	MobiDBLite	mobidb-lite	consensus disorder prediction	51	71	-	T	22-04-2026	-	-	-	-
GAV05950.1	5c9ff66cf84bb984104cdf8c3ffa1661	120	MobiDBLite	mobidb-lite	consensus disorder prediction	40	79	-	T	22-04-2026	-	-	-	-
GAV08424.1	ab3395988edd1e425ff7b184a1caaedc	117	MobiDBLite	mobidb-lite	consensus disorder prediction	32	50	-	T	22-04-2026	-	-	-	-
GAV08424.1	ab3395988edd1e425ff7b184a1caaedc	117	MobiDBLite	mobidb-lite	consensus disorder prediction	28	105	-	T	22-04-2026	-	-	-	-
GAV08424.1	ab3395988edd1e425ff7b184a1caaedc	117	MobiDBLite	mobidb-lite	consensus disorder prediction	83	105	-	T	22-04-2026	-	-	-	-
GAV08424.1	ab3395988edd1e425ff7b184a1caaedc	117	MobiDBLite	mobidb-lite	consensus disorder prediction	66	82	-	T	22-04-2026	-	-	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	SMART	SM00213	ubq_7	30	100	3.6E-4	T	22-04-2026	IPR000626	Ubiquitin-like domain	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	Pfam	PF03031	NLI interacting factor-like phosphatase	163	326	1.0E-18	T	22-04-2026	IPR004274	FCP1 homology domain	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	NCBIfam	TIGR02245	HAD-IIID family hydrolase	143	336	3.2E-72	T	22-04-2026	IPR011943	HAD-superfamily hydrolase, subfamily IIID	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	PANTHER	PTHR48405	UBIQUITIN-LIKE DOMAIN-CONTAINING CTD PHOSPHATASE 1	19	346	1.9E-96	T	22-04-2026	-	-	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	SUPERFAMILY	SSF54236	Ubiquitin-like	28	110	6.68E-15	T	22-04-2026	IPR029071	Ubiquitin-like domain superfamily	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	MobiDBLite	mobidb-lite	consensus disorder prediction	340	373	-	T	22-04-2026	-	-	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	Gene3D	G3DSA:3.40.50.1000	-	115	343	1.9E-54	T	22-04-2026	IPR023214	HAD superfamily	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	SMART	SM00577	forpap2	161	304	6.5E-11	T	22-04-2026	IPR004274	FCP1 homology domain	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	ProSiteProfiles	PS50053	Ubiquitin domain profile.	30	87	11.180878	T	22-04-2026	IPR000626	Ubiquitin-like domain	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	Pfam	PF00240	Ubiquitin family	32	101	3.3E-5	T	22-04-2026	IPR000626	Ubiquitin-like domain	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	SUPERFAMILY	SSF56784	HAD-like	154	331	1.52E-24	T	22-04-2026	IPR036412	HAD-like superfamily	-	-
GAU98403.1	d6259dd9ea232dce101a15450b777a85	373	Gene3D	G3DSA:3.10.20.90	-	23	105	2.0E-18	T	22-04-2026	-	-	-	-
